reporting_entity,facility_name,matched_cer_facility_name,type,state,year,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,controlling_corporation,is_summary,capacity_mw,fuel_source,accreditation_code,postcode,accreditation_start_date,approval_date,committed_date,project_status,merge_status,bd_2,bd_3,bd_4,bd_5,erp_17,erp_18,erp_19,erp_21,erp_22,erp_23,erp_f_10,erp_f_11,erp_f_12,erp_f_13,erp_f_14,erp_f_15,erp_f_16,erp_f_17,erp_f_18,erp_f_19,erp_f_20,erp_f_21,erp_f_22,erp_f_23,erp_f_24,erp_f_25,erp_f_26,erp_f_27,erp_f_28,erp_f_29,erp_f_2,erp_f_30,erp_f_31,erp_f_32,erp_f_33,erp_f_34,erp_f_35,erp_f_36,erp_f_37,erp_f_38,erp_f_3,erp_f_4,erp_f_5,erp_f_6,erp_f_7,erp_f_8,erp_f_9,erp_m_10,erp_m_11,erp_m_12,erp_m_13,erp_m_14,erp_m_15,erp_m_16,erp_m_17,erp_m_18,erp_m_19,erp_m_20,erp_m_21,erp_m_22,erp_m_23,erp_m_24,erp_m_25,erp_m_26,erp_m_27,erp_m_28,erp_m_29,erp_m_2,erp_m_30,erp_m_31,erp_m_32,erp_m_33,erp_m_34,erp_m_35,erp_m_36,erp_m_37,erp_m_38,erp_m_3,erp_m_4,erp_m_5,erp_m_6,erp_m_7,erp_m_8,erp_m_9,erp_p_10,erp_p_11,erp_p_12,erp_p_13,erp_p_14,erp_p_15,erp_p_16,erp_p_17,erp_p_18,erp_p_19,erp_p_20,erp_p_21,erp_p_22,erp_p_23,erp_p_24,erp_p_25,erp_p_26,erp_p_27,erp_p_28,erp_p_29,erp_p_2,erp_p_30,erp_p_31,erp_p_32,erp_p_33,erp_p_34,erp_p_35,erp_p_36,erp_p_37,erp_p_38,erp_p_3,erp_p_4,erp_p_5,erp_p_6,erp_p_7,erp_p_8,erp_p_9,ing_1564,ing_alc1,ing_alc2,ing_cultid,ing_disab1,ing_disab2,ing_disab3,ing_disab4,ing_disab5,ing_disab6,ing_disab7,ing_eetp1,ing_eetp2,ing_eetp3,ing_eetph1,ing_eetph2,ing_eetph3,ing_emp1,ing_emp2,ing_emp3,ing_erp_f,ing_erp_m,ing_erp_p,ing_f014,ing_f1524,ing_f2534,ing_f3544,ing_f4554,ing_f55over,ing_heap1,ing_heap2,ing_heap3,ing_hltc1,ing_hltc2,ing_hltc3,ing_hmlss1,ing_hmlss2,ing_hosd10,ing_hosd11,ing_hosd1,ing_hosd2,ing_hosd3,ing_hosd4,ing_hosd5,ing_hosd6,ing_hosd7,ing_hosd8,ing_hosd9,ing_labf,ing_lang1,ing_lang2,ing_lfpr,ing_lfsp1,ing_lfsp2,ing_lfsp3,ing_lthc1,ing_lthc2,ing_lthc3,ing_lthc4,ing_lthc5,ing_lthc6,ing_m014,ing_m1524,ing_m2534,ing_m3544,ing_m4554,ing_m55over,ing_ma_f,ing_ma_m,ing_ma_p,ing_nilf,ing_p014,ing_p1524,ing_p2534,ing_p3544,ing_p4554,ing_p55over,ing_sahlth,ing_smk1,ing_smk2,ing_ttype1,ing_ttype2,ing_ttype3,ing_ttype4,ing_ua1,ing_ua2,ing_unemp1,ing_unemp2,ing_upcc1,ing_upcc2,ing_upcc3,ing_upcc4,ing_upcc5,ing_upcc6,ing_upcc7,ing_upcc8,ing_usp1,ing_usp2,ing_usp3,ing_usp4,ing_volwp1,ing_volwp2,ing_wa1,ing_wa2,ing_yr12c3p1,ing_yr12c3p2,ing_yr12c3p3,land,pension_3,pension_4,pension_5
ELECTRICITY GENERATION AND RETAIL CORPORATION,Kwinana Power Station,,F,WA,2021,2411711.0,669920.0,354786.0,595.0,355381,0.53,On,SWIS,Gas,,False,,,,,,,,,nger_only,34039.0,1.73,15891.0,4.8,65.0,1787608.0,37.5,1.1,38.6,38.0,91759.0,89410.0,88221.0,83775.0,78355.0,68771.0,59306.0,40211.0,28830.0,30540.0,1373048.0,6.0,6.4,6.3,5.6,5.9,6.7,7.6,7.6,6.7,82778.0,6.5,6.4,6.1,5.7,5.0,4.3,2.9,2.1,2.2,87381.0,86908.0,77023.0,80580.0,91703.0,103749.0,103748.0,91493.0,90830.0,89598.0,83629.0,75640.0,64480.0,57017.0,38252.0,24587.0,19926.0,1376317.0,6.4,6.7,6.7,5.9,6.2,6.8,7.4,7.6,6.6,87995.0,6.6,6.5,6.1,5.5,4.7,4.1,2.8,1.8,1.4,92535.0,92240.0,81775.0,85971.0,93254.0,102226.0,104869.0,183252.0,180240.0,177819.0,167404.0,153995.0,133251.0,116323.0,78463.0,53417.0,50466.0,2749365.0,6.2,6.5,6.5,5.8,6.1,6.7,7.5,7.6,6.7,170773.0,6.6,6.5,6.1,5.6,4.8,4.2,2.9,1.9,1.8,179916.0,179148.0,158798.0,166551.0,184957.0,205975.0,208617.0,52709.0,,,,,,,,,,,38.2,16.7,45.1,7666.0,53.1,14447.0,24181.0,83.9,45.9,58704.0,61302.0,120006.0,18784.0,10478.0,8897.0,6810.0,6075.0,7660.0,4556.0,37.1,12266.0,,,,3378.0,35.0,2.1,71585.0,56414.0,78.8,8257.0,11.5,3613.0,5.0,1781.0,2.5,1518.0,28815.0,13.9,84.9,54.7,18600.0,49.8,37357.0,,,,,,,19970.0,11227.0,9858.0,7409.0,6072.0,6766.0,25.1,24.5,24.8,45.3,38754.0,21705.0,18755.0,14219.0,12147.0,14426.0,,,,25815.0,33.5,47647.0,61.9,7340.0,12.2,4632.0,16.1,10988.0,18.2,5669.0,9.4,18072.0,30.0,35599.0,59.1,,,,,6004.0,10.0,75577.0,63.0,4304.0,61.1,7049.0,252663248.3,332.0,9280.0,2321.0
ELECTRICITY GENERATION AND RETAIL CORPORATION,Muja Power Station,,F,WA,2021,12914677.0,3587410.0,3260481.0,1642.0,3262123,0.91,On,SWIS,Black Coal,,False,,,,,,,,,nger_only,34039.0,1.73,15891.0,4.8,65.0,1787608.0,37.5,1.1,38.6,38.0,91759.0,89410.0,88221.0,83775.0,78355.0,68771.0,59306.0,40211.0,28830.0,30540.0,1373048.0,6.0,6.4,6.3,5.6,5.9,6.7,7.6,7.6,6.7,82778.0,6.5,6.4,6.1,5.7,5.0,4.3,2.9,2.1,2.2,87381.0,86908.0,77023.0,80580.0,91703.0,103749.0,103748.0,91493.0,90830.0,89598.0,83629.0,75640.0,64480.0,57017.0,38252.0,24587.0,19926.0,1376317.0,6.4,6.7,6.7,5.9,6.2,6.8,7.4,7.6,6.6,87995.0,6.6,6.5,6.1,5.5,4.7,4.1,2.8,1.8,1.4,92535.0,92240.0,81775.0,85971.0,93254.0,102226.0,104869.0,183252.0,180240.0,177819.0,167404.0,153995.0,133251.0,116323.0,78463.0,53417.0,50466.0,2749365.0,6.2,6.5,6.5,5.8,6.1,6.7,7.5,7.6,6.7,170773.0,6.6,6.5,6.1,5.6,4.8,4.2,2.9,1.9,1.8,179916.0,179148.0,158798.0,166551.0,184957.0,205975.0,208617.0,52709.0,,,,,,,,,,,38.2,16.7,45.1,7666.0,53.1,14447.0,24181.0,83.9,45.9,58704.0,61302.0,120006.0,18784.0,10478.0,8897.0,6810.0,6075.0,7660.0,4556.0,37.1,12266.0,,,,3378.0,35.0,2.1,71585.0,56414.0,78.8,8257.0,11.5,3613.0,5.0,1781.0,2.5,1518.0,28815.0,13.9,84.9,54.7,18600.0,49.8,37357.0,,,,,,,19970.0,11227.0,9858.0,7409.0,6072.0,6766.0,25.1,24.5,24.8,45.3,38754.0,21705.0,18755.0,14219.0,12147.0,14426.0,,,,25815.0,33.5,47647.0,61.9,7340.0,12.2,4632.0,16.1,10988.0,18.2,5669.0,9.4,18072.0,30.0,35599.0,59.1,,,,,6004.0,10.0,75577.0,63.0,4304.0,61.1,7049.0,252663248.3,332.0,9280.0,2321.0
ELECTRICITY GENERATION AND RETAIL CORPORATION,Mungarra Gas Turbine Station,,F,WA,2021,111333.0,30926.0,25262.0,0.0,25262,0.82,On,SWIS,Gas,,False,,,,,,,,,nger_only,34039.0,1.73,15891.0,4.8,65.0,1787608.0,37.5,1.1,38.6,38.0,91759.0,89410.0,88221.0,83775.0,78355.0,68771.0,59306.0,40211.0,28830.0,30540.0,1373048.0,6.0,6.4,6.3,5.6,5.9,6.7,7.6,7.6,6.7,82778.0,6.5,6.4,6.1,5.7,5.0,4.3,2.9,2.1,2.2,87381.0,86908.0,77023.0,80580.0,91703.0,103749.0,103748.0,91493.0,90830.0,89598.0,83629.0,75640.0,64480.0,57017.0,38252.0,24587.0,19926.0,1376317.0,6.4,6.7,6.7,5.9,6.2,6.8,7.4,7.6,6.6,87995.0,6.6,6.5,6.1,5.5,4.7,4.1,2.8,1.8,1.4,92535.0,92240.0,81775.0,85971.0,93254.0,102226.0,104869.0,183252.0,180240.0,177819.0,167404.0,153995.0,133251.0,116323.0,78463.0,53417.0,50466.0,2749365.0,6.2,6.5,6.5,5.8,6.1,6.7,7.5,7.6,6.7,170773.0,6.6,6.5,6.1,5.6,4.8,4.2,2.9,1.9,1.8,179916.0,179148.0,158798.0,166551.0,184957.0,205975.0,208617.0,52709.0,,,,,,,,,,,38.2,16.7,45.1,7666.0,53.1,14447.0,24181.0,83.9,45.9,58704.0,61302.0,120006.0,18784.0,10478.0,8897.0,6810.0,6075.0,7660.0,4556.0,37.1,12266.0,,,,3378.0,35.0,2.1,71585.0,56414.0,78.8,8257.0,11.5,3613.0,5.0,1781.0,2.5,1518.0,28815.0,13.9,84.9,54.7,18600.0,49.8,37357.0,,,,,,,19970.0,11227.0,9858.0,7409.0,6072.0,6766.0,25.1,24.5,24.8,45.3,38754.0,21705.0,18755.0,14219.0,12147.0,14426.0,,,,25815.0,33.5,47647.0,61.9,7340.0,12.2,4632.0,16.1,10988.0,18.2,5669.0,9.4,18072.0,30.0,35599.0,59.1,,,,,6004.0,10.0,75577.0,63.0,4304.0,61.1,7049.0,252663248.3,332.0,9280.0,2321.0
ELECTRICITY GENERATION AND RETAIL CORPORATION,Pinjar Gas Turbine Station,,F,WA,2021,2014036.0,559454.0,497194.0,0.0,497194,0.89,On,SWIS,Gas,,False,,,,,,,,,nger_only,34039.0,1.73,15891.0,4.8,65.0,1787608.0,37.5,1.1,38.6,38.0,91759.0,89410.0,88221.0,83775.0,78355.0,68771.0,59306.0,40211.0,28830.0,30540.0,1373048.0,6.0,6.4,6.3,5.6,5.9,6.7,7.6,7.6,6.7,82778.0,6.5,6.4,6.1,5.7,5.0,4.3,2.9,2.1,2.2,87381.0,86908.0,77023.0,80580.0,91703.0,103749.0,103748.0,91493.0,90830.0,89598.0,83629.0,75640.0,64480.0,57017.0,38252.0,24587.0,19926.0,1376317.0,6.4,6.7,6.7,5.9,6.2,6.8,7.4,7.6,6.6,87995.0,6.6,6.5,6.1,5.5,4.7,4.1,2.8,1.8,1.4,92535.0,92240.0,81775.0,85971.0,93254.0,102226.0,104869.0,183252.0,180240.0,177819.0,167404.0,153995.0,133251.0,116323.0,78463.0,53417.0,50466.0,2749365.0,6.2,6.5,6.5,5.8,6.1,6.7,7.5,7.6,6.7,170773.0,6.6,6.5,6.1,5.6,4.8,4.2,2.9,1.9,1.8,179916.0,179148.0,158798.0,166551.0,184957.0,205975.0,208617.0,52709.0,,,,,,,,,,,38.2,16.7,45.1,7666.0,53.1,14447.0,24181.0,83.9,45.9,58704.0,61302.0,120006.0,18784.0,10478.0,8897.0,6810.0,6075.0,7660.0,4556.0,37.1,12266.0,,,,3378.0,35.0,2.1,71585.0,56414.0,78.8,8257.0,11.5,3613.0,5.0,1781.0,2.5,1518.0,28815.0,13.9,84.9,54.7,18600.0,49.8,37357.0,,,,,,,19970.0,11227.0,9858.0,7409.0,6072.0,6766.0,25.1,24.5,24.8,45.3,38754.0,21705.0,18755.0,14219.0,12147.0,14426.0,,,,25815.0,33.5,47647.0,61.9,7340.0,12.2,4632.0,16.1,10988.0,18.2,5669.0,9.4,18072.0,30.0,35599.0,59.1,,,,,6004.0,10.0,75577.0,63.0,4304.0,61.1,7049.0,252663248.3,332.0,9280.0,2321.0
ELECTRICITY NETWORKS CORPORATION,Ravensthorpe Power Station,,F,WA,2021,249.0,69.0,50.0,0.0,50,0.72,On,SWIS,Diesel,,False,,,,,,,,,nger_only,34039.0,1.73,15891.0,4.8,65.0,1787608.0,37.5,1.1,38.6,38.0,91759.0,89410.0,88221.0,83775.0,78355.0,68771.0,59306.0,40211.0,28830.0,30540.0,1373048.0,6.0,6.4,6.3,5.6,5.9,6.7,7.6,7.6,6.7,82778.0,6.5,6.4,6.1,5.7,5.0,4.3,2.9,2.1,2.2,87381.0,86908.0,77023.0,80580.0,91703.0,103749.0,103748.0,91493.0,90830.0,89598.0,83629.0,75640.0,64480.0,57017.0,38252.0,24587.0,19926.0,1376317.0,6.4,6.7,6.7,5.9,6.2,6.8,7.4,7.6,6.6,87995.0,6.6,6.5,6.1,5.5,4.7,4.1,2.8,1.8,1.4,92535.0,92240.0,81775.0,85971.0,93254.0,102226.0,104869.0,183252.0,180240.0,177819.0,167404.0,153995.0,133251.0,116323.0,78463.0,53417.0,50466.0,2749365.0,6.2,6.5,6.5,5.8,6.1,6.7,7.5,7.6,6.7,170773.0,6.6,6.5,6.1,5.6,4.8,4.2,2.9,1.9,1.8,179916.0,179148.0,158798.0,166551.0,184957.0,205975.0,208617.0,52709.0,,,,,,,,,,,38.2,16.7,45.1,7666.0,53.1,14447.0,24181.0,83.9,45.9,58704.0,61302.0,120006.0,18784.0,10478.0,8897.0,6810.0,6075.0,7660.0,4556.0,37.1,12266.0,,,,3378.0,35.0,2.1,71585.0,56414.0,78.8,8257.0,11.5,3613.0,5.0,1781.0,2.5,1518.0,28815.0,13.9,84.9,54.7,18600.0,49.8,37357.0,,,,,,,19970.0,11227.0,9858.0,7409.0,6072.0,6766.0,25.1,24.5,24.8,45.3,38754.0,21705.0,18755.0,14219.0,12147.0,14426.0,,,,25815.0,33.5,47647.0,61.9,7340.0,12.2,4632.0,16.1,10988.0,18.2,5669.0,9.4,18072.0,30.0,35599.0,59.1,,,,,6004.0,10.0,75577.0,63.0,4304.0,61.1,7049.0,252663248.3,332.0,9280.0,2321.0
ELLIOTT GREEN CHILDERS PTY LTD,Childers Solar Farm,,F,QLD,2021,389998.0,108333.0,14.0,279.0,293,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,64111.0,1.74,33858.0,5.2,64.5,3362261.0,37.6,3.0,39.2,38.4,170605.0,174377.0,169808.0,162654.0,153298.0,134165.0,120855.0,84971.0,55854.0,58054.0,2630271.0,5.6,6.2,6.5,5.9,6.2,6.8,7.0,7.0,6.5,146133.0,6.6,6.5,6.2,5.8,5.1,4.6,3.2,2.1,2.2,163433.0,170108.0,154990.0,163349.0,179078.0,183945.0,184594.0,161969.0,169461.0,164593.0,156075.0,145470.0,127241.0,115687.0,80717.0,49187.0,37785.0,2585543.0,6.0,6.7,7.0,6.3,6.5,6.9,6.9,6.9,6.3,155549.0,6.6,6.4,6.0,5.6,4.9,4.5,3.1,1.9,1.5,172978.0,180836.0,163340.0,168920.0,178193.0,178976.0,178566.0,332574.0,343838.0,334401.0,318729.0,298768.0,261406.0,236542.0,165688.0,105041.0,95839.0,5215814.0,5.8,6.4,6.7,6.1,6.4,6.8,7.0,7.0,6.4,301682.0,6.6,6.4,6.1,5.7,5.0,4.5,3.2,2.0,1.8,336411.0,350944.0,318330.0,332269.0,357271.0,362921.0,363160.0,140663.0,,,,,,,,,,,41.7,19.0,39.2,23722.0,58.1,40860.0,75504.0,86.5,53.7,136895.0,136224.0,273119.0,45317.0,25218.0,19609.0,14905.0,14007.0,17839.0,14817.0,47.2,31369.0,,,,4769.0,21.0,1.2,203440.0,165224.0,81.2,23457.0,11.5,8638.0,4.2,3633.0,1.8,2487.0,87254.0,8.4,89.5,62.0,55777.0,57.2,97429.0,,,,,,,47625.0,25801.0,19740.0,14068.0,13077.0,15913.0,24.1,22.8,23.4,38.0,92942.0,51019.0,39349.0,28973.0,27084.0,33752.0,,,,74351.0,34.2,135801.0,62.5,20506.0,13.1,11754.0,13.5,32396.0,20.6,12153.0,7.7,46884.0,29.8,101227.0,64.4,,,,,16824.0,10.7,165902.0,60.7,14926.0,75.0,19911.0,173017122.1,1341.0,22405.0,7205.0
ELLIOTT GREEN NEVERTIRE PTY LTD,Nevertire Solar Farm,,F,NSW,2021,846065.0,235018.0,11.0,628.0,639,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,101332.0,1.72,56525.0,5.1,64.3,5209700.0,37.7,10.1,39.5,38.6,263153.0,260715.0,252243.0,247965.0,240317.0,211037.0,187796.0,135708.0,97173.0,109787.0,4071669.0,5.7,6.0,6.1,5.5,6.0,6.9,7.4,7.2,6.5,232193.0,6.4,6.2,6.1,5.9,5.2,4.6,3.3,2.4,2.7,245467.0,246768.0,222554.0,243734.0,281425.0,300607.0,293027.0,257741.0,256646.0,244279.0,241583.0,226979.0,196703.0,177431.0,125832.0,82010.0,70196.0,4025393.0,6.1,6.5,6.5,5.9,6.5,7.1,7.4,7.3,6.4,246488.0,6.4,6.1,6.0,5.6,4.9,4.4,3.1,2.0,1.7,261143.0,261630.0,238716.0,263020.0,286918.0,295922.0,292156.0,520894.0,517361.0,496522.0,489548.0,467296.0,407740.0,365227.0,261540.0,179183.0,179983.0,8097062.0,5.9,6.3,6.3,5.7,6.3,7.0,7.4,7.2,6.4,478681.0,6.4,6.1,6.0,5.8,5.0,4.5,3.2,2.2,2.2,506610.0,508398.0,461270.0,506754.0,568343.0,596529.0,585183.0,163828.0,,,,,,,,,,,42.7,20.3,37.0,29599.0,62.0,47729.0,92356.0,90.0,56.4,169293.0,170417.0,339710.0,55670.0,30879.0,23841.0,17592.0,17153.0,24158.0,18762.0,54.1,34703.0,,,,2508.0,7.0,0.3,243919.0,213418.0,87.5,22080.0,9.1,6227.0,2.6,1549.0,0.6,645.0,102579.0,1.9,96.9,62.6,67497.0,59.6,113280.0,,,,,,,59525.0,32705.0,24108.0,16640.0,15703.0,21736.0,24.3,22.6,23.4,37.4,115195.0,63584.0,47949.0,34232.0,32856.0,45894.0,,,,112521.0,43.5,137702.0,53.2,27147.0,14.6,10223.0,10.0,38602.0,20.8,12373.0,6.7,53152.0,28.7,122358.0,66.0,,,,,19979.0,10.8,204377.0,60.2,15722.0,69.3,22675.0,80079765.9,722.0,21949.0,9273.0
ELLIOTT GREEN SUSAN RIVER PTY LTD,Susan River Solar Farm,,F,QLD,2021,545836.0,151621.0,17.0,379.0,396,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,64111.0,1.74,33858.0,5.2,64.5,3362261.0,37.6,3.0,39.2,38.4,170605.0,174377.0,169808.0,162654.0,153298.0,134165.0,120855.0,84971.0,55854.0,58054.0,2630271.0,5.6,6.2,6.5,5.9,6.2,6.8,7.0,7.0,6.5,146133.0,6.6,6.5,6.2,5.8,5.1,4.6,3.2,2.1,2.2,163433.0,170108.0,154990.0,163349.0,179078.0,183945.0,184594.0,161969.0,169461.0,164593.0,156075.0,145470.0,127241.0,115687.0,80717.0,49187.0,37785.0,2585543.0,6.0,6.7,7.0,6.3,6.5,6.9,6.9,6.9,6.3,155549.0,6.6,6.4,6.0,5.6,4.9,4.5,3.1,1.9,1.5,172978.0,180836.0,163340.0,168920.0,178193.0,178976.0,178566.0,332574.0,343838.0,334401.0,318729.0,298768.0,261406.0,236542.0,165688.0,105041.0,95839.0,5215814.0,5.8,6.4,6.7,6.1,6.4,6.8,7.0,7.0,6.4,301682.0,6.6,6.4,6.1,5.7,5.0,4.5,3.2,2.0,1.8,336411.0,350944.0,318330.0,332269.0,357271.0,362921.0,363160.0,140663.0,,,,,,,,,,,41.7,19.0,39.2,23722.0,58.1,40860.0,75504.0,86.5,53.7,136895.0,136224.0,273119.0,45317.0,25218.0,19609.0,14905.0,14007.0,17839.0,14817.0,47.2,31369.0,,,,4769.0,21.0,1.2,203440.0,165224.0,81.2,23457.0,11.5,8638.0,4.2,3633.0,1.8,2487.0,87254.0,8.4,89.5,62.0,55777.0,57.2,97429.0,,,,,,,47625.0,25801.0,19740.0,14068.0,13077.0,15913.0,24.1,22.8,23.4,38.0,92942.0,51019.0,39349.0,28973.0,27084.0,33752.0,,,,74351.0,34.2,135801.0,62.5,20506.0,13.1,11754.0,13.5,32396.0,20.6,12153.0,7.7,46884.0,29.8,101227.0,64.4,,,,,16824.0,10.7,165902.0,60.7,14926.0,75.0,19911.0,173017122.1,1341.0,22405.0,7205.0
ENEL GREEN POWER AUSTRALIA PTY LTD,Bungala One Solar Farm,,F,SA,2021,900995.0,250276.0,0.0,0.0,0,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,19757.0,1.64,14494.0,5.2,63.2,1138874.0,39.5,1.8,41.8,40.6,54941.0,55755.0,58117.0,58641.0,58267.0,52617.0,48758.0,34867.0,24891.0,28776.0,911534.0,5.2,5.7,5.8,5.4,5.9,6.5,6.7,6.7,6.0,47640.0,6.1,6.4,6.4,6.4,5.8,5.3,3.8,2.7,3.2,51643.0,52676.0,48961.0,54144.0,59198.0,60763.0,60879.0,53385.0,55242.0,57240.0,56616.0,54641.0,48612.0,44450.0,31122.0,20188.0,18157.0,891067.0,5.6,6.1,6.2,5.8,6.5,6.9,6.8,6.8,6.0,49838.0,6.2,6.4,6.4,6.1,5.5,5.0,3.5,2.3,2.0,54346.0,55146.0,51943.0,58173.0,61269.0,60532.0,60167.0,108326.0,110997.0,115357.0,115257.0,112908.0,101229.0,93208.0,65989.0,45079.0,46933.0,1802601.0,5.4,5.9,6.0,5.6,6.2,6.7,6.7,6.7,6.0,97478.0,6.2,6.4,6.4,6.3,5.6,5.2,3.7,2.5,2.6,105989.0,107822.0,100904.0,112317.0,120467.0,121295.0,121046.0,25533.0,,,,,,,,,,,37.5,18.7,43.8,4028.0,55.5,7260.0,11972.0,84.2,46.9,25951.0,26118.0,52069.0,8502.0,4683.0,3940.0,2773.0,2703.0,3350.0,2444.0,42.2,5793.0,,,,1391.0,19.0,1.2,36231.0,29989.0,82.8,3725.0,10.3,1524.0,4.2,537.0,1.5,450.0,14215.0,10.8,87.9,55.7,8990.0,50.1,17934.0,,,,,,,8977.0,4949.0,3950.0,2730.0,2444.0,3068.0,24.5,23.0,23.8,44.3,17479.0,9632.0,7890.0,5503.0,5147.0,6418.0,,,,13637.0,35.4,23458.0,60.9,4114.0,14.4,2251.0,15.8,5182.0,18.1,2571.0,9.0,8266.0,28.9,18346.0,64.0,,,,,3062.0,10.7,31978.0,61.4,2262.0,64.6,3503.0,98423142.0,260.0,7440.0,2253.0
ENEL GREEN POWER AUSTRALIA PTY LTD,Bungala Two Solar Farm,,F,SA,2021,895644.0,248790.0,0.0,0.0,0,0.0,On,NEM,Solar,,False,,,,,,,,,nger_only,19757.0,1.64,14494.0,5.2,63.2,1138874.0,39.5,1.8,41.8,40.6,54941.0,55755.0,58117.0,58641.0,58267.0,52617.0,48758.0,34867.0,24891.0,28776.0,911534.0,5.2,5.7,5.8,5.4,5.9,6.5,6.7,6.7,6.0,47640.0,6.1,6.4,6.4,6.4,5.8,5.3,3.8,2.7,3.2,51643.0,52676.0,48961.0,54144.0,59198.0,60763.0,60879.0,53385.0,55242.0,57240.0,56616.0,54641.0,48612.0,44450.0,31122.0,20188.0,18157.0,891067.0,5.6,6.1,6.2,5.8,6.5,6.9,6.8,6.8,6.0,49838.0,6.2,6.4,6.4,6.1,5.5,5.0,3.5,2.3,2.0,54346.0,55146.0,51943.0,58173.0,61269.0,60532.0,60167.0,108326.0,110997.0,115357.0,115257.0,112908.0,101229.0,93208.0,65989.0,45079.0,46933.0,1802601.0,5.4,5.9,6.0,5.6,6.2,6.7,6.7,6.7,6.0,97478.0,6.2,6.4,6.4,6.3,5.6,5.2,3.7,2.5,2.6,105989.0,107822.0,100904.0,112317.0,120467.0,121295.0,121046.0,25533.0,,,,,,,,,,,37.5,18.7,43.8,4028.0,55.5,7260.0,11972.0,84.2,46.9,25951.0,26118.0,52069.0,8502.0,4683.0,3940.0,2773.0,2703.0,3350.0,2444.0,42.2,5793.0,,,,1391.0,19.0,1.2,36231.0,29989.0,82.8,3725.0,10.3,1524.0,4.2,537.0,1.5,450.0,14215.0,10.8,87.9,55.7,8990.0,50.1,17934.0,,,,,,,8977.0,4949.0,3950.0,2730.0,2444.0,3068.0,24.5,23.0,23.8,44.3,17479.0,9632.0,7890.0,5503.0,5147.0,6418.0,,,,13637.0,35.4,23458.0,60.9,4114.0,14.4,2251.0,15.8,5182.0,18.1,2571.0,9.0,8266.0,28.9,18346.0,64.0,,,,,3062.0,10.7,31978.0,61.4,2262.0,64.6,3503.0,98423142.0,260.0,7440.0,2253.0
ENERGY QUEENSLAND LIMITED,Aurukun Remote generation,,F,QLD,2021,22024.0,6118.0,4316.0,0.0,4316,0.71,Off,Off-grid,Diesel,,False,,,,,,,,,nger_only,64111.0,1.74,33858.0,5.2,64.5,3362261.0,37.6,3.0,39.2,38.4,170605.0,174377.0,169808.0,162654.0,153298.0,134165.0,120855.0,84971.0,55854.0,58054.0,2630271.0,5.6,6.2,6.5,5.9,6.2,6.8,7.0,7.0,6.5,146133.0,6.6,6.5,6.2,5.8,5.1,4.6,3.2,2.1,2.2,163433.0,170108.0,154990.0,163349.0,179078.0,183945.0,184594.0,161969.0,169461.0,164593.0,156075.0,145470.0,127241.0,115687.0,80717.0,49187.0,37785.0,2585543.0,6.0,6.7,7.0,6.3,6.5,6.9,6.9,6.9,6.3,155549.0,6.6,6.4,6.0,5.6,4.9,4.5,3.1,1.9,1.5,172978.0,180836.0,163340.0,168920.0,178193.0,178976.0,178566.0,332574.0,343838.0,334401.0,318729.0,298768.0,261406.0,236542.0,165688.0,105041.0,95839.0,5215814.0,5.8,6.4,6.7,6.1,6.4,6.8,7.0,7.0,6.4,301682.0,6.6,6.4,6.1,5.7,5.0,4.5,3.2,2.0,1.8,336411.0,350944.0,318330.0,332269.0,357271.0,362921.0,363160.0,140663.0,,,,,,,,,,,41.7,19.0,39.2,23722.0,58.1,40860.0,75504.0,86.5,53.7,136895.0,136224.0,273119.0,45317.0,25218.0,19609.0,14905.0,14007.0,17839.0,14817.0,47.2,31369.0,,,,4769.0,21.0,1.2,203440.0,165224.0,81.2,23457.0,11.5,8638.0,4.2,3633.0,1.8,2487.0,87254.0,8.4,89.5,62.0,55777.0,57.2,97429.0,,,,,,,47625.0,25801.0,19740.0,14068.0,13077.0,15913.0,24.1,22.8,23.4,38.0,92942.0,51019.0,39349.0,28973.0,27084.0,33752.0,,,,74351.0,34.2,135801.0,62.5,20506.0,13.1,11754.0,13.5,32396.0,20.6,12153.0,7.7,46884.0,29.8,101227.0,64.4,,,,,16824.0,10.7,165902.0,60.7,14926.0,75.0,19911.0,173017122.1,1341.0,22405.0,7205.0
