reporting_entity,facility_name,type,state,electricity_production_gj,electricity_production_mwh,total_scope_1_emissions_t_co2_e,total_scope_2_emissions_t_co2_e,total_emissions_t_co2_e,emission_intensity_t_co2_e_mwh,grid_connected,grid,primary_fuel,year,controlling_corporation,is_summary,geo_query,latitude,longitude,place_id,formatted_address,geocode_status
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,716825.0,199118.0,73.0,481.0,554,0.0,On,NEM,Wind,2020,,False,"Oaklands Hill Wind Farm, VIC, Australia",,,,,
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,17216.0,4782.0,0.0,93.0,93,0.0,On,NEM,Hydro,2020,,False,"Rubicon Hydro Scheme, VIC, Australia",,,,,
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2174344.0,603984.0,134.0,281.0,415,0.0,On,NEM,Wind,2020,,False,"Silverton Wind Farm, NSW, Australia",,,,,
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,344085.0,95579.0,67041.0,1720.0,68761,0.7,On,NEM,Gas,2020,,False,"Somerton Power Station, VIC, Australia",,,,,
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,7836105.0,2176696.0,1262196.0,13776.0,1275972,0.58,On,NEM,Gas,2020,,False,"Torrens Island Power Station, SA, Australia",,,,,
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,973724.0,270479.0,53.0,158.0,211,0.0,On,NEM,Wind,2020,,False,"Wattle Point Wind Farm, SA, Australia",,,,,
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,524348.0,145652.0,0.0,746.0,746,0.0,On,NEM,Hydro,2020,,False,"West Kiewa Hydro, VIC, Australia",,,,,
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,77952.0,21653.0,0.0,70.0,70,0.0,On,NEM,Hydro,2020,,False,"Yarrawonga Hydro, VIC, Australia",,,,,
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,6851412.0,1903170.0,1340502.0,302.0,1340804,0.7,On,SWIS,Gas,2020,,False,"Alinta Pinjarra Generation Facility, WA, Australia",,,,,
APT PIPELINES LIMITED,Badgingarra Solar Farm,F,WA,141407.0,39280.0,16.0,62.0,78,0.0,On,SWIS,Solar,2020,,False,"Badgingarra Solar Farm, WA, Australia",,,,,
