facility_name,state,capacity_mw,fuel_source,accreditation_code,accreditation_start_date,approval_date,committed_date,project_status
Mulwala Solar Farm,NSW,31.0,Solar,,,,2025-06-01,committed
Wathagar Solar NSW (Stage 2),NSW,27.0,Solar,,,,2025-07-01,committed
King Rocks Wind Farm,WA,105.0,Wind,,,,2025-10-01,committed
Blind Creek Solar Farm,NSW,300.0,Solar,,,,2025-11-01,committed
Waddi Wind Farm,WA,108.0,Wind,,,,2025-12-01,committed
Carmody's Hill Wind Farm,SA,247.0,Wind,,,,2025-12-01,committed
Delburn Wind Farm,VIC,205.0,Wind,,,,2025-12-01,committed
Palmer Wind Farm,SA,288.0,Wind,,,,2026-01-01,committed
Nullagine Wind Farm,WA,133.0,Wind,,,,2026-01-01,committed
Barnawartha Solar Farm,VIC,64.0,Solar,,,,,probable
Barwon solar farm,VIC,250.0,Solar,,,,,probable
Bell Bay Wind Farm,TAS,224.0,Wind,,,,,probable
Bendemeer Energy Hub - Solar,NSW,252.0,Solar,,,,,probable
Binningup Solar Facility,WA,75.0,Solar,,,,,probable
Boddington Giga Energy,WA,400.0,Solar,,,,,probable
Bulli Creek Solar project Stage 1,QLD,775.0,Solar,,,,,probable
Bullyard Solar Farm,QLD,100.0,Solar,,,,,probable
Bundey Solar Farm,SA,240.0,Solar,,,,,probable
Bungaban Wind Farm,QLD,1400.0,Wind,,,,,probable
Campbells Forest Solar Farm,VIC,205.0,Solar,,,,,probable
Clarke Creek Wind Farm Stage 2,QLD,704.0,Wind,,,,,probable
Coppabella Wind Farm,NSW,284.0,Wind,,,,,probable
Corop Solar Farm,VIC,440.0,Solar,,,,,probable
Derby Solar Farm & Battery,VIC,95.0,Solar,,,,,probable
Dinawan Wind Farm Stage 1,NSW,357.0,Wind,,,,,probable
Elaine Solar Farm,VIC,125.0,Solar,,,,,probable
Eurimbula Solar Farm,QLD,350.0,Solar,,,,,probable
Frasers Solar Farm,VIC,77.0,Solar,,,,,probable
Ganymirra Solar Power Station,QLD,150.0,Solar,,,,,probable
Gawara Baya Wind Farm,QLD,399.0,Wind,,,,,probable
Glanmire Solar Farm,NSW,60.0,Solar,,,,,probable
