measure_data_item,time_period_time_period,obs_value,unit_measure_unit_of_measure,state,year
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2021,6.0,PCT: Percent,QLD,2021
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2022,6.0,PCT: Percent,QLD,2022
ERP_M_21: Estimated resident population:Males aged 0-4 years (%),2023,5.9,PCT: Percent,QLD,2023
ING_HLTC2: Aboriginal and Torres Strait Islander Peoples:Recognises and lives in homelands/traditional country (%),2015,32.6,PCT: Percent,NT,2015
ING_HLTC2: Aboriginal and Torres Strait Islander Peoples:Recognises and lives in homelands/traditional country (%),2019,41.2,PCT: Percent,NT,2019
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2016,47.4,PCT: Percent,QLD,2016
ING_EMP3: Aboriginal and Torres Strait Islander Peoples:% of total Census responding population employed,2021,53.7,PCT: Percent,QLD,2021
ING_UA2: Aboriginal and Torres Strait Islander Peoples:Provided unpaid assistance to a person with a disability (%),2016,14.4,PCT: Percent,TAS,2016
ING_UA2: Aboriginal and Torres Strait Islander Peoples:Provided unpaid assistance to a person with a disability (%),2021,16.0,PCT: Percent,TAS,2021
ING_F4554: Estimated resident Aboriginal and Torres Strait Islander population:Females aged 45-54 years (no.),2021,1790.0,PSNS: Persons,TAS,2021
ING_DISAB1: Aboriginal and Torres Strait Islander Peoples:Disability status: Profound/severe core activity limitation (no.),2019,6963.0,PSNS: Persons,WA,2019
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2023,6.1,PCT: Percent,QLD,2023
ING_USP4: Aboriginal and Torres Strait Islander Peoples:Aboriginal Medical Service is preferred health service provider (%),2019,44.7,PCT: Percent,WA,2019
ING_ERP_P: Estimated resident Aboriginal and Torres Strait Islander population:Persons (no.),2021,76487.0,PSNS: Persons,NT,2021
ING_UPCC6: Aboriginal and Torres Strait Islander Peoples:Provided unpaid child care (%),2016,31.8,PCT: Percent,QLD,2016
ING_UPCC6: Aboriginal and Torres Strait Islander Peoples:Provided unpaid child care (%),2021,29.8,PCT: Percent,QLD,2021
ING_LFSP2: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years) (%),2016,42.4,PCT: Percent,OT,2016
ING_LFSP2: Aboriginal and Torres Strait Islander Peoples:Employed (persons aged 25-64 years) (%),2021,46.1,PCT: Percent,OT,2021
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2019,6.6,PCT: Percent,QLD,2019
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2020,6.5,PCT: Percent,QLD,2020
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2021,6.4,PCT: Percent,QLD,2021
ERP_P_22: Estimated resident population:Persons aged 5-9 years (%),2022,6.3,PCT: Percent,QLD,2022
ING_HMLSS2: % of total homeless or likely to be homeless population estimate who identify as Aboriginal or Torres Strait Islander,2016,6.0,PCT: Percent,ACT,2016
ING_HMLSS2: % of total homeless or likely to be homeless population estimate who identify as Aboriginal or Torres Strait Islander,2021,7.0,PCT: Percent,ACT,2021
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2022,147082.0,PSNS: Persons,VIC,2022
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2023,148991.0,PSNS: Persons,VIC,2023
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2019,108.0,PSNS: Persons,OT,2019
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2020,115.0,PSNS: Persons,OT,2020
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2021,136.0,PSNS: Persons,OT,2021
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2022,124.0,PSNS: Persons,OT,2022
ERP_M_2: Estimated resident population:Males aged 0-4 years (no.),2023,120.0,PSNS: Persons,OT,2023
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2016,62.1,PCT: Percent,ACT,2016
ING_HEAP2: Aboriginal and Torres Strait Islander Peoples:25-34 year olds that completed Certificate III or above (%),2021,64.7,PCT: Percent,ACT,2021
ERP_F_16: Estimated resident population:Females aged 70-74 years (no.),2019,135298.0,PSNS: Persons,VIC,2019
