Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Werribee Biogas,F,VIC,243495,67637,3222,0.0,3222,0.05,On,NEM,Sludge Biogas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Woy Woy Landfill,F,NSW,23420,6506,353,0.0,353,0.05,On,NEM,Landfill Gas,-
SUSTAINABLE ENERGY INFRASTRUCTURE HOLDINGS PTY LIMITED,Corporate Total,C,-,794337,220649,76896,0.0,76896,,-,-,-,-
SWF1 OPERATIONS HOLDINGS PTY LTD,SWF 1 Operations Holdings Pty Ltd,F,NSW,2742313,761754,46,0.0,46,0.0,On,NEM,Wind,-
SWF1 OPERATIONS HOLDINGS PTY LTD,Corporate Total,C,-,2742313,761754,46,0.0,46,,-,-,-,-
TASMANIAN IRRIGATION PTY LTD,Midlands Power Station,F,TAS,141987,39441,0,0.0,0,0.0,On,NEM,Hydro,-
TASMANIAN IRRIGATION PTY LTD,Corporate Total,C,-,141987,39441,0,0.0,0,,-,-,-,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kalgoorlie Power Station,F,WA,1021701,283806,159388,0.0,159388,0.56,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Kambalda Power Station,F,WA,1032685,286857,157625,0.0,157625,0.55,On,SWIS,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Leinster Power Station,F,WA,1133138,314761,162075,0.0,162075,0.51,Off,Off-grid,Gas,-
TRANSALTA ENERGY (AUSTRALIA) PTY LTD,Mt Keith Power Station,F,WA,1235695,343249,199198,0.0,199198,0.58,Off,Off-grid,Gas,-
