Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,495330,137592,72,103.0,175,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,503254,139793,55,336.0,391,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mortlake South Wind Farm,F,VIC,369542,102651,73,634.0,707,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1003102,278639,92,872.0,964,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2088926,580257,146,993.0,1139,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,4460154,1238932,438,2938.0,3376,,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,584026,162229,0,505.0,505,0.0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,584026,162229,0,505.0,505,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,106971,29714,0,7.0,7,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,1057923,293867,173299,2011.0,175310,0.59,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,50733338,14092594,12569420,28937.0,12598357,0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,394506,109585,82,636.0,718,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,374389,103997,82,316.0,398,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,16645,4624,1,30.0,31,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,202806,56335,2,162.0,164,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Gap Wind Farm,F,QLD,5130600,1425167,160,1185.0,1345,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,166589,46275,1,46.0,47,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,1024011,284447,0,319.0,319,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,1047673,291020,2,37.0,39,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,0,0,0,9.0,9,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1026839,285233,97,158.0,255,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,782456,217349,66,105.0,171,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1534240,426178,141,232.0,373,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,504173,140048,53,111.0,164,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,383910,106642,62098,129.0,62227,0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,19899020,5527506,5239346,26357.0,5265703,0.95,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,50146280,13929522,16170571,189860.0,16360431,1.16,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,2420034,672232,9566,2444.0,12010,0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,473634,131565,0,1230.0,1230,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,785688,218247,156,620.0,776,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,627901,174417,68,366.0,434,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,55541,15428,0,17.0,17,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,8,2,0,30.0,30,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2466717,685199,89,786.0,875,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,290492,80692,59598,1429.0,61027,0.74,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,2760172,766715,441439,6196.0,447635,0.58,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,865030,240286,127,106.0,233,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,1151224,319785,0,302.0,302,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,106073,29465,2,44.0,46,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,146534883,40704134,34726466,264217.0,34990683,,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,5892286,1636746,1299678,268.0,1299946,0.79,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,5892286,1636746,1299678,268.0,1299946,,-,-,-,-
AMP AUSTRALIA HOLDINGS PTY LTD,Hillston Sun Farm,F,NSW,743457,206516,22,962.0,984,0.0,On,NEM,Solar,-
AMP AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,-,743457,206516,22,962.0,984,,-,-,-,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Molong Solar Farm,F,NSW,133087,36969,20,397.0,417,0.0,On,NEM,Solar,-
AMP ENERGY AUSTRALIA 1-1 PTY LTD,Corporate Total,C,-,133087,36969,20,397.0,417,,-,-,-,-
APA INFRASTRUCTURE LIMITED,Badgingarra Solar Farm,F,WA,155133,43092,2,28.0,30,0.0,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Badgingarra Wind Farm,F,WA,1600937,444705,35,160.0,195,0.0,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Darling Downs Solar Farm,F,QLD,717295,199249,62,628.0,690,0.0,On,NEM,Wind,-
APA INFRASTRUCTURE LIMITED,Diamantina Power Station,F,QLD,6775886,1882190,780863,94.0,780957,0.41,On,Mt Isa,Gas,-
APA INFRASTRUCTURE LIMITED,Dugald River Solar Farm,F,QLD,42301,11750,0,0.0,0,0.0,On,Mt Isa,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Solar Farm,F,WA,158660,44072,5,113.0,118,0.0,On,SWIS,Solar,-
APA INFRASTRUCTURE LIMITED,Emu Downs Wind Farm,F,WA,861316,239254,61,118.0,179,0.0,On,SWIS,Wind,-
APA INFRASTRUCTURE LIMITED,Corporate Total,C,-,10311528,2864313,781028,1141.0,782169,,-,-,-,-
ARET PLATFORM PTY LIMITED,Willogoleche Wind Farm,F,SA,1268619,352394,63,155.0,218,0.0,On,NEM,Wind,-
ARET PLATFORM PTY LIMITED,Corporate Total,C,-,1268619,352394,63,155.0,218,,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,2163259,600905,348883,3819.0,352702,0.58,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,2163259,600905,348883,3819.0,352702,,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,367529,102091,76416,139.0,76555,0.75,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,1586297,440638,182619,2400.0,185019,0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,1953826,542730,259035,2539.0,261574,,-,-,-,-
ATMOS QUEENSLAND SOLAR PTY LTD,Childers Solar Farm,F,QLD,382513,106254,18,285.0,303,0.0,On,NEM,Solar,-
ATMOS QUEENSLAND SOLAR PTY LTD,Susan River Solar Farm,F,QLD,524196,145610,24,352.0,376,0.0,On,NEM,Solar,-
ATMOS QUEENSLAND SOLAR PTY LTD,Corporate Total,C,-,906709,251864,42,637.0,679,,-,-,-,-
ATMOS TOPCO PTY LTD,Kiata Wind Farm,F,VIC,450908,125252,42,185.0,227,0.0,On,NEM,Wind,-
ATMOS TOPCO PTY LTD,Nevertire Solar Farm,F,NSW,870572,241826,35,577.0,612,0.0,On,NEM,Solar,-
