Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
ALINTA ENERGY FINANCE PTY LTD,Augusta Power Stations,F,SA,9364212,2601170,2630792,8952.0,2639744,1.01,On,NEM,Brown Coal,
ALINTA ENERGY FINANCE PTY LTD,Bairnsdale Power Station,F,VIC,711146,197541,107099,910.0,108009,0.54,On,NEM,Gas,
ALINTA ENERGY FINANCE PTY LTD,Braemar Power Station,F,QLD,4550759,1264100,715070,1522.0,716592,0.57,On,NEM,Coal Seam Methane,
ALINTA ENERGY FINANCE PTY LTD,Newman Power Station,F,WA,439162,121989,118285,0.0,118285,0.97,Off,Off-grid,Gas,
ALINTA ENERGY FINANCE PTY LTD,Port Hedland Power Station,F,WA,1779045,494179,386071,0.0,386071,0.78,On,NWIS,Gas,
ALINTA ENERGY FINANCE PTY LTD,Corporate Total,C,,16844324,4678979,3957317,11384.0,3968701,,,,,
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,815306,226474,90,454.0,544,0.0,On,SWIS,Wind,
APT PIPELINES LIMITED,Corporate Total,C,,815306,226474,90,454.0,544,,,,,
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,4180327,1161202,695330,2911.0,698241,0.6,On,NEM,Coal Seam Methane,
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,,4180327,1161202,695330,2911.0,698241,,,,,
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,1627387,452052,239663,0.0,239663,0.53,On,NWIS,Gas,
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,4262553,1184043,492160,784.0,492944,0.42,On,NEM,Gas,
ATCO AUSTRALIA PTY LTD,Corporate Total,C,,5889940,1636094,731823,784.0,732607,,,,,
AXIA ENERGY AUSTRALIA PTY LTD,Smithfield Power Partnership,F,NSW,3495583,970995,458892,0.0,458892,0.47,On,NEM,Gas,
AXIA ENERGY AUSTRALIA PTY LTD,Corporate Total,C,,3495583,970995,458892,0.0,458892,,,,,
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Condamine Power Station,F,QLD,2604882,723578,312379,1658.0,314037,0.43,On,NEM,Gas,
BG INTERNATIONAL (AUS) INVESTMENTS PTY LIMITED,Corporate Total,C,,2604882,723578,312379,1658.0,314037,,,,,
BHP BILLITON IRON ORE PTY. LTD.,Yarnima Power Station,F,WA,2440531,677925,337537,0.0,337537,0.5,Off,Off-grid,Gas,
BHP BILLITON IRON ORE PTY. LTD.,Corporate Total,C,,2440531,677925,337537,0.0,337537,,,,,
BLUEWATERS POWER 1 PTY LTD,Bluewaters Power 1,F,WA,5660342,1572317,1391851,3653.0,1395504,0.89,On,SWIS,Black Coal,
BLUEWATERS POWER 1 PTY LTD,Corporate Total,C,,5660342,1572317,1391851,3653.0,1395504,,,,,
