Controlling corporation,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected,Grid,Primary Fuel,Important Notes
ESSENTIAL ENERGY,Corporate Total,C,,3290,914,1239,406.0,1645,,,,,
FENGATE EXMOUTH ENERGY SPV PTY LTD,Exmouth Power Station Pty Ltd,F,WA,85721,23811,17304,0.0,17304,0.73,Off,Off-grid,Gas,
FENGATE EXMOUTH ENERGY SPV PTY LTD,Corporate Total,C,,85721,23811,17304,0.0,17304,,,,,
FPC 30 LIMITED,FPC Green Energy,F,QLD,284724,79090,3854,1960.0,5814,0.05,On,NEM,Biofuel,
FPC 30 LIMITED,Corporate Total,C,,284724,79090,3854,1960.0,5814,,,,,
GOLDFIELDS POWER PTY LTD,Parkeston Power Station,F,WA,879767,244380,130402,0.0,130402,0.53,On,SWIS,Gas/Diesel,
GOLDFIELDS POWER PTY LTD,Corporate Total,C,,879767,244380,130402,0.0,130402,,,,,
GSP ENERGY PTY LTD,Blayney Wind Farm,F,NSW,68007,18891,0,44.0,44,0.0,On,NEM,Wind,
GSP ENERGY PTY LTD,Burrinjuck Power Station,F,NSW,299060,83072,0,66.0,66,0.0,On,NEM,Hydro,
GSP ENERGY PTY LTD,Crookwell Wind Farm,F,NSW,31427,8730,0,31.0,31,0.0,On,NEM,Wind,
GSP ENERGY PTY LTD,Hume Power Station,F,NSW,653966,181657,0,164.0,164,0.0,On,NEM,Hydro,
GSP ENERGY PTY LTD,Keepit Power Station,F,NSW,4405,1224,0,0.0,0,0.0,On,NEM,Hydro,
GSP ENERGY PTY LTD,Corporate Total,C,,1056865,293574,0,305.0,305,,,,,
HYDRO POWER PTY LIMITED,Wyangala A,F,NSW,144408,40113,0,0.0,0,0.0,On,NEM,Hydro,
HYDRO POWER PTY LIMITED,Corporate Total,C,,144408,40113,0,0.0,0,,,,,
HYDRO-ELECTRIC CORPORATION,Bastyan Hydro Power Station,F,TAS,976362,271212,0,94.0,94,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Bell Bay Thermal Power Station,F,TAS,543,151,760,41.0,801,5.04,On,NEM,Gas,
HYDRO-ELECTRIC CORPORATION,Butlers Gorge Hydro Power Station,F,TAS,169404,47057,0,0.0,0,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Catagunya Hydro Power Station,F,TAS,805018,223616,15015,17.0,15032,0.07,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Cethana Hydro Power Station,F,TAS,611375,169826,0,103.0,103,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Cluny Hydro Power Station,F,TAS,270139,75039,0,9.0,9,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Devils Gate Hydro Power Station,F,TAS,814361,226211,0,15.0,15,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Fisher Hydro Power Station,F,TAS,594628,165174,0,0.0,0,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Flinders Island Power Station,F,TAS,13222,3673,2498,2.0,2500,0.68,Off,Off-grid,Wind/Diesel,
HYDRO-ELECTRIC CORPORATION,George Town (Temp Diesel),F,TAS,31595,8776,6160,3.0,6163,0.7,On,NEM,Diesel,
HYDRO-ELECTRIC CORPORATION,Gordon Hydro Power Station,F,TAS,5003528,1389869,0,152.0,152,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,John Butters Hydro Power Station,F,TAS,1344498,373472,0,203.0,203,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,King Island Power Station,F,TAS,46703,12973,4466,3.0,4469,0.34,Off,Off-grid,Wind/Diesel,
HYDRO-ELECTRIC CORPORATION,Lake Echo Hydro Power Station,F,TAS,378203,105056,0,11.0,11,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Lake Margaret Lower Hydro Power station,F,TAS,55477,15410,0,1.0,1,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Lake Margaret Upper Hydro Power Station,F,TAS,152031,42231,0,3.0,3,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Lemonthyme Hydro Power Station,F,TAS,810358,225099,0,36.0,36,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Liapootah Hydro Power Station,F,TAS,1371491,380970,0,287.0,287,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Mackintosh Hydro Power Station,F,TAS,970421,269561,0,280.0,280,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Meadowbank Hydro Power Station,F,TAS,370684,102968,9979,30.0,10009,0.1,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Paloona Hydro Power Station,F,TAS,360020,100006,0,12.0,12,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Parangana Hydro Power Station,F,TAS,7916,2199,0,0.0,0,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Poatina Hydro Power Station,F,TAS,4523235,1256454,0,782.0,782,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Port Latta (Temp Diesel),F,TAS,19236,5343,3884,3.0,3887,0.73,On,NEM,Diesel,
HYDRO-ELECTRIC CORPORATION,Que River (Temp Diesel),F,TAS,23521,6534,5065,5.0,5070,0.78,On,NEM,Diesel,
HYDRO-ELECTRIC CORPORATION,Reece Hydro Power Station,F,TAS,2736735,760204,0,1593.0,1593,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Repulse Hydro Power Station,F,TAS,455516,126532,0,6.0,6,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Rowallan Hydro Power Station,F,TAS,105014,29171,0,0.0,0,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tamar Valley Power Station,F,TAS,2811111,780864,357888,965.0,358853,0.46,On,NEM,Gas,
HYDRO-ELECTRIC CORPORATION,Tarraleah Hydro Power Station,F,TAS,1613976,448327,0,61.0,61,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tods Corner Hydro Power Station,F,TAS,9085,2524,0,3.0,3,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Trevallyn Hydro Power Station,F,TAS,1372595,381276,0,44.0,44,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tribute Hydro Power Station,F,TAS,656992,182498,0,39.0,39,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Tungatinah Hydro Power Station,F,TAS,1831827,508841,0,94.0,94,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Wayatinah Hydro Power Station,F,TAS,799235,222010,0,4.0,4,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Wilmot Hydro Power Station,F,TAS,371141,103095,0,28.0,28,0.0,On,NEM,Hydro,
HYDRO-ELECTRIC CORPORATION,Corporate Total,C,,32487196,9024221,405715,4929.0,410644,,,,,
IFM RENEWABLE ENERGY PTY LTD,Challicum Hills Wind Farm,F,VIC,491832,136620,27,196.0,223,0.0,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Clements Gap Wind Farm,F,SA,631683,175468,13,181.0,194,0.0,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Codrington Wind Farm,F,VIC,148019,41116,11,55.0,66,0.0,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Eildon Pondage Hydro,F,VIC,45476,12632,0,0.0,0,0.0,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Glenmaggie Hydro,F,VIC,18037,5010,0,0.0,0,0.0,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Ord Hydro,F,WA,780200,216722,18,0.0,18,0.0,Off,Off-grid,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Portland Wind Farms,F,VIC,1657431,460398,5,0.0,5,0.0,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,The Drop Hydro,F,NSW,14184,3940,0,0.0,0,0.0,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,William Hovell Hydro,F,VIC,9951,2764,0,30.0,30,0.0,On,NEM,Hydro,
IFM RENEWABLE ENERGY PTY LTD,Yambuk Wind Farm,F,VIC,308923,85812,24,196.0,220,0.0,On,NEM,Wind,
IFM RENEWABLE ENERGY PTY LTD,Corporate Total,C,,4105736,1140482,98,658.0,756,,,,,
INFIGEN ENERGY LIMITED,Alinta Wind Farm,F,WA,1103621,306561,43,752.0,795,0.0,On,SWIS,Wind,
INFIGEN ENERGY LIMITED,Capital East Solar Farm,F,NSW,149,41,0,4.0,4,0.0,On,NEM,Solar,
INFIGEN ENERGY LIMITED,Capital Wind Farm,F,NSW,1333851,370514,103,788.0,891,0.0,On,NEM,Wind,
INFIGEN ENERGY LIMITED,"Lake Bonney Stage 1,2 & 3 Wind Farm",F,SA,2394147,665041,63,803.0,866,0.0,On,NEM,Wind,
INFIGEN ENERGY LIMITED,Woodlawn Wind Farm,F,NSW,545517,151533,22,335.0,357,0.0,On,NEM,Wind,
INFIGEN ENERGY LIMITED,Corporate Total,C,,5377285,1493690,231,2682.0,2913,,,,,
IPM (KWINANA) PTY LTD,Kwinana Cogeneration Plant,F,WA,3161087,878080,472509,38.0,472547,0.54,On,SWIS,Gas,
IPM (KWINANA) PTY LTD,Corporate Total,C,,3161087,878080,472509,38.0,472547,,,,,
IPM AUSTRALIA LIMITED,Loy Yang B Power Station,F,VIC,30425411,8451503,9647046,3059.0,9650105,1.14,On,NEM,Brown Coal,
IPM AUSTRALIA LIMITED,Corporate Total,C,,30425411,8451503,9647046,3059.0,9650105,,,,,
LMS ENERGY PTY LTD,Albury Renewable Energy Facility,F,NSW,27524,7646,425,0.0,425,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Atlas Renewable Energy Facility,F,WA,14490,4025,228,0.0,228,0.06,On,SWIS,Landfill Gas,
LMS ENERGY PTY LTD,Awaba Renewable Energy Facility,F,NSW,31788,8830,497,0.0,497,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Ballarat Renewable Energy Facility,F,VIC,24593,6831,392,0.0,392,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Bendigo Renewable Energy Facility,F,VIC,15151,4209,236,0.0,236,0.06,On,NEM,Solar,
LMS ENERGY PTY LTD,Birkdale Renewable Energy Facility,F,QLD,23993,6665,364,0.0,364,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Darwin Renewable Energy Facility,F,NT,27675,7688,445,0.0,445,0.06,On,DKIS,Landfill Gas,
LMS ENERGY PTY LTD,Eastern Creek 2 Renewable Energy Facility,F,NSW,226741,62984,3247,0.0,3247,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Hampton Park Renewable Energy Facility,F,VIC,211479,58744,3081,0.0,3081,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Ipswich Renewable Energy Facility,F,QLD,27367,7602,445,0.0,445,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Mornington Peninsula Renewable Energy Facility,F,VIC,22762,6323,356,0.0,356,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Newcastle Renewable Energy Facility,F,NSW,64609,17947,973,0.0,973,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Remount Renewable Energy Facility,F,TAS,44237,12288,705,0.0,705,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Rochedale Renewable Energy Facility,F,QLD,123969,34436,1768,0.0,1768,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Shepparton Renewable Energy Facility,F,VIC,15685,4357,242,0.0,242,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,South Cardup Renewable Energy Facility,F,WA,100737,27983,1566,0.0,1566,0.06,On,SWIS,Landfill Gas,
LMS ENERGY PTY LTD,Stapylton Renewable Energy Facility,F,QLD,51102,14195,841,0.0,841,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Suntown Renewable Energy Facility,F,QLD,99,28,2,0.0,2,0.07,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Swanbank Renewable Energy Facility,F,QLD,40332,11203,627,0.0,627,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Tweed Shire Renewable Energy Facility,F,NSW,2118,588,37,0.0,37,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Wollert Renewable Energy Facility,F,VIC,197228,54786,3053,0.0,3053,0.06,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Wyndham Renewable Energy Facility,F,VIC,55106,15307,763,0.0,763,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Wyong Renewable Energy Facility,F,NSW,65920,18311,1004,0.0,1004,0.05,On,NEM,Landfill Gas,
LMS ENERGY PTY LTD,Corporate Total,C,,1414705,392974,21297,0.0,21297,,,,,
MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Mercer Wind farm Pty Ltd,F,VIC,1271657,353238,120,1.0,121,0.0,On,NEM,Wind,
MERIDIAN ENERGY AUSTRALIA PTY LTD,Mt Millar Wind Farm Pty Ltd,F,SA,658516,182921,0,0.0,0,0.0,On,NEM,Wind,
MERIDIAN ENERGY AUSTRALIA PTY LTD,Corporate Total,C,,1930173,536159,120,1.0,121,,,,,
MITSUI & CO. (AUSTRALIA) LTD.,Bald Hills Wind Farm,F,VIC,1165374,323715,45,844.0,889,0.0,On,NEM,Wind,
MITSUI & CO. (AUSTRALIA) LTD.,Corporate Total,C,,1165374,323715,45,844.0,889,,,,,
MOMENTUM ENERGY PTY LIMITED,Alfred Hospital Cogeneration Plant,F,VIC,51831,14398,13568,552.0,14120,0.94,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Dandenong Hospital Cogeneration Plant,F,VIC,43841,12178,10990,395.0,11385,0.9,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Geelong Hospital Cogeneration Plant,F,VIC,52425,14563,12725,536.0,13261,0.87,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Royal Melbourne Hospital Cogeneration Plant,F,VIC,114617,31838,26542,94.0,26636,0.83,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,ST. Vincent's Hospital Cogeneration Plant,F,VIC,47008,13058,14072,544.0,14616,1.08,On,NEM,Gas,
MOMENTUM ENERGY PTY LIMITED,Corporate Total,C,,309722,86034,77897,2121.0,80018,,,,,
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Mortons Lane Windfarm Pty Ltd,F,VIC,220200,61167,0,41.0,41,0.0,On,NEM,Wind,
MORTONS LANE WIND FARM (HOLDING) PTY LTD,Corporate Total,C,,220200,61167,0,41.0,41,,,,,
MUMBIDA WIND FARM HOLDINGS PTY LTD,Mumbida Wind Farm,F,WA,547031,151953,2,328.0,330,0.0,On,SWIS,Wind,
MUMBIDA WIND FARM HOLDINGS PTY LTD,Corporate Total,C,,547031,151953,2,328.0,330,,,,,
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Hazelwood Power Station,F,VIC,37172802,10325778,14442736,186505.0,14629241,1.4,On,NEM,Brown Coal,
NATIONAL POWER AUSTRALIA INVESTMENTS LIMITED,Corporate Total,C,,37172802,10325778,14442736,186505.0,14629241,,,,,
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,New Gullen Range Wind Farm Pty Ltd,F,NSW,1679312,466476,0,437.0,437,0.0,On,NEM,Wind,
NEW GULLEN RANGE WIND FARM  (HOLDING) PTY LTD,Corporate Total,C,,1679312,466476,0,437.0,437,,,,,
NEWGEN KWINANA HOLDINGS PTY LTD,Kwinana Gas Fired Power Station,F,WA,6955328,1932036,766556,4059.0,770615,0.4,On,SWIS,Gas,
NEWGEN KWINANA HOLDINGS PTY LTD,Corporate Total,C,,6955328,1932036,766556,4059.0,770615,,,,,
NRG VICTORIA 1 PTY LTD,Gladstone Power Station,F,QLD,24841222,6900339,6583245,52076.0,6635321,0.95,On,NEM,Black Coal,
NRG VICTORIA 1 PTY LTD,Corporate Total,C,,24841222,6900339,6583245,52076.0,6635321,,,,,
ONSLOW ELECTRIC POWER PTY LTD,Onslow Power Station,F,WA,53587,14885,9371,0.0,9371,0.63,Off,Off-grid,Gas,
ONSLOW ELECTRIC POWER PTY LTD,Corporate Total,C,,53587,14885,9371,0.0,9371,,,,,
ORIGIN ENERGY LIMITED,Australand,F,NSW,4139,1150,685,48.0,733,0.6,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Ballarat Solar Park,F,VIC,1402,389,0,2.0,2,0.0,On,NEM,Solar,
ORIGIN ENERGY LIMITED,Bendigo Solar Park,F,VIC,1833,509,0,4.0,4,0.0,On,NEM,Solar,
ORIGIN ENERGY LIMITED,Blackmores,F,NSW,4811,1336,970,56.0,1026,0.73,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Bond,F,NSW,4035,1121,620,47.0,667,0.55,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Chifley Square,F,NSW,3005,835,580,35.0,615,0.69,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Cullerin Wind Farm,F,NSW,367841,102178,8,90.0,98,0.0,On,NEM,Wind,
ORIGIN ENERGY LIMITED,Dandenong,F,VIC,8719,2422,1524,256.0,1780,0.63,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Darling Downs Power Station,F,QLD,13228362,3674545,1561214,5208.0,1566422,0.42,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Drapac,F,VIC,2673,743,462,42.0,504,0.62,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Eraring Power Station,F,NSW,52673634,14631565,12913436,35003.0,12948439,0.88,On,NEM,Black Coal,
ORIGIN ENERGY LIMITED,Exhibition Street,F,VIC,9755,2710,1493,153.0,1646,0.55,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Kent Street,F,NSW,12395,3443,1751,145.0,1896,0.51,On,NEM,Gas,
ORIGIN ENERGY LIMITED,La Trobe,F,VIC,2880,800,453,45.0,498,0.57,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Ladbroke Grove Power Station,F,SA,735807,204391,106412,465.0,106877,0.52,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mirvac,F,NSW,18779,5216,2797,219.0,3016,0.54,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mortlake Power Station,F,VIC,1753502,487084,262086,6548.0,268634,0.54,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mount,F,NSW,6782,1884,1051,79.0,1130,0.56,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Mt Stuart Power Station,F,QLD,197763,54934,54200,4025.0,58225,0.99,On,NEM,Kerosene,
ORIGIN ENERGY LIMITED,Quarantine Power Station,F,SA,486565,135157,86853,1758.0,88611,0.64,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Roma Power Station,F,QLD,393277,109244,71762,650.0,72412,0.66,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Shoalhaven Scheme,F,NSW,568395,157888,2,168699.0,168701,0.0,On,NEM,Hydro,
ORIGIN ENERGY LIMITED,Stockland Headquarters,F,NSW,5152,1431,824,60.0,884,0.58,On,NEM,Gas,
ORIGIN ENERGY LIMITED,University of NSW,F,NSW,8961,2489,1221,105.0,1326,0.49,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Uranquinty Power Station,F,NSW,2818838,783011,474499,5261.0,479760,0.61,On,NEM,Gas,
ORIGIN ENERGY LIMITED,Corporate Total,C,,73319305,20366474,15544903,229003.0,15773906,,,,,
OZGEN HOLDINGS AUSTRALIA PTY LTD,Millmerran Power Station (facility),F,QLD,23953296,6653693,5461349,3927.0,5465276,0.82,On,NEM,Black Coal,
OZGEN HOLDINGS AUSTRALIA PTY LTD,Corporate Total,C,,23953296,6653693,5461349,3927.0,5465276,,,,,
PELICAN POINT POWER LIMITED,Pelican Point Power Station,F,SA,1095846,304402,123223,2713.0,125936,0.4,On,NEM,Gas,
PELICAN POINT POWER LIMITED,Corporate Total,C,,1095846,304402,123223,2713.0,125936,,,,,
PERTH ENERGY PTY LTD,Kwinana Swift Power Station,F,WA,49953,13876,8444,687.0,9131,0.61,On,SWIS,Gas,
PERTH ENERGY PTY LTD,Corporate Total,C,,49953,13876,8444,687.0,9131,,,,,
POWER AND WATER CORPORATION,Alpurrurulam (Lake Nash),F,NT,7102,1973,1240,0.0,1240,0.63,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Amanbidgi (Kildurk),F,NT,1035,288,263,0.0,263,0.91,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,"Ampilatwatja (Alparra, Ammaroo)",F,NT,12014,3337,2390,0.0,2390,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Amunturangu,F,NT,2673,743,581,0.0,581,0.78,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Aputula (Finke),F,NT,3704,1029,735,0.0,735,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Areyonga (Utju),F,NT,3929,1091,791,0.0,791,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Atitjere (Harts Range),F,NT,3417,949,708,0.0,708,0.75,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Borroloola Generation,F,NT,23342,6484,4453,0.0,4453,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Bulla Camp,F,NT,1483,412,375,0.0,375,0.91,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Bulman,F,NT,4815,1338,1082,0.0,1082,0.81,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Daly Waters Generation,F,NT,4051,1125,851,0.0,851,0.76,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Elliot Generation,F,NT,10483,2912,2230,0.0,2230,0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Engawala (Alcoota),F,NT,1888,524,426,0.0,426,0.81,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Epenarra,F,NT,2572,714,589,0.0,589,0.82,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Eva Valley,F,NT,1299,361,309,0.0,309,0.86,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Galiwinku (Elcho Island),F,NT,26054,7237,5017,0.0,5017,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Gapuwiyak (Lake Evella),F,NT,11076,3077,2227,0.0,2227,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Gunbalanya (Oenpelli),F,NT,18127,5035,3539,0.0,3539,0.7,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ikuntji (Haasts Bluff),F,NT,2796,777,611,0.0,611,0.79,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Imangara (Murray Downs),F,NT,1108,308,253,0.0,253,0.82,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Imanpa (Mount Ebenezer),F,NT,2092,581,483,0.0,483,0.83,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Kalkaringi (Wave Hill),F,NT,10524,2923,1787,0.0,1787,0.61,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Kaltukatjara (Docker River),F,NT,5669,1575,1144,0.0,1144,0.73,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Lajamanu (Hooker Creek),F,NT,11053,3070,2195,0.0,2195,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Laramba (Napperby),F,NT,3585,996,702,0.0,702,0.7,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Maningrida,F,NT,32217,8949,6205,0.0,6205,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Milikapiti (Snake Bay),F,NT,8568,2380,1835,0.0,1835,0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Milingimbi,F,NT,12762,3545,2739,0.0,2739,0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Milyakburra (Bickerton Island),F,NT,3722,1034,721,0.0,721,0.7,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Minjilang (Croker Island),F,NT,5182,1439,1107,0.0,1107,0.77,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Minyerri (Hodgson Downs),F,NT,8141,2261,1664,0.0,1664,0.74,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Nauiyu Nambiyu (Daly River),F,NT,10999,3055,2153,0.0,2153,0.7,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Nguiu (Bathurst Island),F,NT,23767,6602,4835,0.0,4835,0.73,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ngukurr (Roper River),F,NT,17122,4756,3465,0.0,3465,0.73,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Numbulwar (Rose River),F,NT,11571,3214,2273,0.0,2273,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Nyirripi (Waite Creek),F,NT,4034,1121,764,0.0,764,0.68,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Orwaitilla (Canteen Creek),F,NT,3509,975,692,0.0,692,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Palumpa,F,NT,5467,1519,1074,0.0,1074,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Papunya,F,NT,7208,2002,1504,0.0,1504,0.75,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Peppimenarti,F,NT,4432,1231,887,0.0,887,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Pidgeon Hole,F,NT,1811,503,399,0.0,399,0.79,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Pirlangimpi (Garden Point),F,NT,7460,2072,1643,0.0,1643,0.79,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ramingining,F,NT,11419,3172,2254,0.0,2254,0.71,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Robinson River,F,NT,3917,1088,808,0.0,808,0.74,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Tara (Neutral Junction),F,NT,1248,347,309,0.0,309,0.89,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Ti Tree Generation,F,NT,9424,2618,1660,0.0,1660,0.63,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Timber Creek Generation,F,NT,10699,2972,2138,0.0,2138,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Titjikala (Maryvale),F,NT,4254,1182,810,0.0,810,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Umbakumba,F,NT,9443,2623,1979,0.0,1979,0.75,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Wadeye (Port Keats),F,NT,34366,9546,6032,0.0,6032,0.63,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Walungurru (Kintore),F,NT,6796,1888,1353,0.0,1353,0.72,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Warruwi (Goulburn Is),F,NT,6719,1866,1283,0.0,1283,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Wilora (Stirling),F,NT,1158,322,274,0.0,274,0.85,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Wirliyatjarrayi (Willowra),F,NT,3412,948,654,0.0,654,0.69,Off,Off-grid,Diesel,
POWER AND WATER CORPORATION,Yarralin,F,NT,5181,1439,987,0.0,987,0.69,Off,Off-grid,Diesel,
