Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production MWh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t CO2 e MWh,Grid Connected,Grid,Primary Fuel,Important Notes
Origin Energy Limited,Corporate Total,C,-,76147672,21152131,17018257,287010.0,17305267,,-,-,-,-
OzGen Holdings Australia Pty Ltd,Callide C Power Station (facility),F,QLD,22352040,6208900,5782739,28487.0,5811226,0.93,On,NEM,Black Coal,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times.
C S ENERGY LIMITED and OZGEN HOLDINGS AUSTRALIA PTY LTD, have each included the same data for the Callide C Power Station in their NGER reports."
OzGen Holdings Australia Pty Ltd,Millmerran Power Station (facility),F,QLD,22094305,6137307,5046040,4391.0,5050431,0.82,On,NEM,Black Coal,-
OzGen Holdings Australia Pty Ltd,Corporate Total,C,-,44446345,12346207,10828779,32878.0,10861657,,-,-,-,-
Palisade Solar 1 Pty Ltd,Ross River Solar Farm,F,QLD,438929,121925,24,556.0,580,0.0,On,NEM,Solar,-
Palisade Solar 1 Pty Ltd,Corporate Total,C,-,438929,121925,24,556.0,580,,-,-,-,-
PALISADE WATERLOO HOLDINGS PTY LTD,Waterloo Wind Farm,F,SA,1437310,399253,82,195.0,277,0.0,On,NEM,Wind,-
PALISADE WATERLOO HOLDINGS PTY LTD,Corporate Total,C,-,1437310,399253,82,195.0,277,,-,-,-,-
PERTH ENERGY PTY LTD,Kwinana Swift Power Station,F,WA,376833,104676,61160,1390.0,62550,0.58,On,SWIS,Gas,-
PERTH ENERGY PTY LTD,Corporate Total,C,-,376833,104676,61160,1390.0,62550,,-,-,-,-
Pioneer Sail Holdings Pty Limited,Bairnsdale Power Station,F,VIC,701768,194936,104191,902.0,105093,0.53,On,NEM,Gas,-
Pioneer Sail Holdings Pty Limited,Braemar Power Station,F,QLD,1422171,395047,230480,1941.0,232421,0.58,On,NEM,Coal Seam Methane,-
Pioneer Sail Holdings Pty Limited,Loy Yang B Power Station,F,VIC,30397766,8443824,9560299,3821.0,9564120,1.13,On,NEM,Brown Coal,-
Pioneer Sail Holdings Pty Limited,Newman Power Station,F,WA,972635,270177,191945,0.0,191945,0.71,Off,Off-grid,Gas,-
Pioneer Sail Holdings Pty Limited,Port Hedland Power Station,F,WA,1869194,519220,387531,0.0,387531,0.75,On,NWIS,Gas,-
Pioneer Sail Holdings Pty Limited,Wagerup Power Station,F,WA,1921299,533694,300025,4533.0,304558,0.56,On,SWIS,Gas,-
Pioneer Sail Holdings Pty Limited,Corporate Total,C,-,37284833,10356898,10774471,11197.0,10785668,,-,-,-,-
Power and Water Corporation,Alpurrurulam (Lake Nash),F,NT,5679,1577,1137,0.0,1137,0.72,Off,Off-grid,Diesel,-
Power and Water Corporation,Amanbidgi (Kildurk),F,NT,985,274,265,0.0,265,0.97,Off,Off-grid,Diesel,-
Power and Water Corporation,"Ampilatwatja (Alparra, Ammaroo)",F,NT,21827,6063,2412,0.0,2412,0.4,Off,Off-grid,Diesel,-
Power and Water Corporation,Amunturangu (Mount Liebig),F,NT,5338,1483,546,0.0,546,0.37,Off,Off-grid,Diesel,-
Power and Water Corporation,Aputula (Finke),F,NT,5430,1508,616,0.0,616,0.41,Off,Off-grid,Diesel,-
Power and Water Corporation,Areyonga (Utju),F,NT,6166,1713,651,0.0,651,0.38,Off,Off-grid,Diesel,-
Power and Water Corporation,Atitjere (Harts Range),F,NT,5724,1590,672,0.0,672,0.42,Off,Off-grid,Diesel,-
Power and Water Corporation,Borroloola Generation,F,NT,22026,6118,4177,0.0,4177,0.68,Off,Off-grid,Diesel,-
Power and Water Corporation,Bulla Camp,F,NT,1129,314,303,0.0,303,0.97,Off,Off-grid,Diesel,-
Power and Water Corporation,Bulman,F,NT,5625,1563,879,0.0,879,0.56,Off,Off-grid,Diesel,-
Power and Water Corporation,Daly Waters Generation,F,NT,4700,1305,890,0.0,890,0.68,Off,Off-grid,Diesel,-
Power and Water Corporation,Elliot Generation,F,NT,11145,3096,2208,0.0,2208,0.71,Off,Off-grid,Gas,-
Power and Water Corporation,Engawala (Alcoota),F,NT,1980,550,417,0.0,417,0.76,Off,Off-grid,Diesel,-
Power and Water Corporation,Epenarra (Wutunugurra),F,NT,3065,851,671,0.0,671,0.79,Off,Off-grid,Diesel,-
Power and Water Corporation,Eva Valley,F,NT,1288,358,287,0.0,287,0.8,Off,Off-grid,Diesel,-
Power and Water Corporation,Galiwinku (Elcho Island),F,NT,38079,10578,4702,0.0,4702,0.44,Off,Off-grid,Diesel,-
Power and Water Corporation,Gapuwiyak (Lake Evella),F,NT,13971,3881,2117,0.0,2117,0.55,Off,Off-grid,Diesel,-
Power and Water Corporation,Gunbalanya (Oenpelli),F,NT,24078,6688,3536,0.0,3536,0.53,Off,Off-grid,Diesel,-
Power and Water Corporation,Ikuntji (Haasts Bluff),F,NT,2818,783,624,0.0,624,0.8,Off,Off-grid,Diesel,-
Power and Water Corporation,Imangara (Murray Downs),F,NT,1296,360,278,0.0,278,0.77,Off,Off-grid,Diesel,-
Power and Water Corporation,Imanpa (Mount Ebenezer),F,NT,2116,588,439,0.0,439,0.75,Off,Off-grid,Diesel,-
Power and Water Corporation,Kalkaringi (Wave Hill),F,NT,10441,2900,2025,0.0,2025,0.7,Off,Off-grid,Diesel,-
Power and Water Corporation,Kaltukatjara (Docker River),F,NT,9626,2674,1053,0.0,1053,0.39,Off,Off-grid,Diesel,-
Power and Water Corporation,Lajamanu (Hooker Creek),F,NT,19656,5460,2029,0.0,2029,0.37,Off,Off-grid,Diesel,-
Power and Water Corporation,Laramba (Napperby),F,NT,3437,955,685,0.0,685,0.72,Off,Off-grid,Diesel,-
Power and Water Corporation,Maningrida,F,NT,50419,14005,5285,0.0,5285,0.38,Off,Off-grid,Diesel,-
Power and Water Corporation,Milikapiti (Snake Bay),F,NT,7999,2222,1664,0.0,1664,0.75,Off,Off-grid,Diesel,-
Power and Water Corporation,Milingimbi,F,NT,20578,5716,2441,0.0,2441,0.43,Off,Off-grid,Diesel,-
Power and Water Corporation,Milyakburra (Bickerton Island),F,NT,4712,1309,575,0.0,575,0.44,Off,Off-grid,Diesel,-
Power and Water Corporation,Minjilang (Croker Island),F,NT,7585,2107,922,0.0,922,0.44,Off,Off-grid,Diesel,-
Power and Water Corporation,Minyerri (Hodgson Downs),F,NT,14359,3989,1627,0.0,1627,0.41,Off,Off-grid,Diesel,-
Power and Water Corporation,Nauiyu Nambiyu (Daly River),F,NT,10484,2912,1110,0.0,1110,0.38,Off,Off-grid,Diesel,-
Power and Water Corporation,Nguiu (Bathurst Island),F,NT,33492,9304,4893,0.0,4893,0.53,Off,Off-grid,Diesel,-
Power and Water Corporation,Ngukurr (Roper River),F,NT,22386,6218,3269,0.0,3269,0.53,Off,Off-grid,Diesel,-
Power and Water Corporation,Numbulwar (Rose River),F,NT,10569,2936,2087,0.0,2087,0.71,Off,Off-grid,Diesel,-
Power and Water Corporation,Nyirripi (Waite Creek),F,NT,5576,1549,642,0.0,642,0.41,Off,Off-grid,Diesel,-
Power and Water Corporation,Orwaitilla (Canteen Creek),F,NT,3455,960,674,0.0,674,0.7,Off,Off-grid,Diesel,-
Power and Water Corporation,Palumpa,F,NT,5249,1458,1024,0.0,1024,0.7,Off,Off-grid,Diesel,-
Power and Water Corporation,Papunya,F,NT,7102,1973,1399,0.0,1399,0.71,Off,Off-grid,Diesel,-
Power and Water Corporation,Peppimenarti,F,NT,4703,1306,924,0.0,924,0.71,Off,Off-grid,Diesel,-
Power and Water Corporation,Pidgeon Hole,F,NT,1699,472,365,0.0,365,0.77,Off,Off-grid,Diesel,-
Power and Water Corporation,Pirlangimpi (Garden Point),F,NT,7379,2050,1572,0.0,1572,0.77,Off,Off-grid,Diesel,-
Power and Water Corporation,Ramingining,F,NT,18713,5198,2015,0.0,2015,0.39,Off,Off-grid,Diesel,-
Power and Water Corporation,Robinson River,F,NT,3985,1107,781,0.0,781,0.71,Off,Off-grid,Diesel,-
Power and Water Corporation,Tara (Neutral Junction),F,NT,1141,317,257,0.0,257,0.81,Off,Off-grid,Diesel,-
Power and Water Corporation,Ti Tree Generation,F,NT,9349,2597,1884,0.0,1884,0.73,Off,Off-grid,Diesel,-
Power and Water Corporation,Timber Creek,F,NT,10899,3027,2122,0.0,2122,0.7,Off,Off-grid,Diesel,-
Power and Water Corporation,Titjikala (Maryvale),F,NT,5850,1625,695,0.0,695,0.43,Off,Off-grid,Diesel,-
Power and Water Corporation,Umbakumba,F,NT,8984,2496,1916,0.0,1916,0.77,Off,Off-grid,Diesel,-
Power and Water Corporation,Wadeye (Port Keats),F,NT,34578,9605,5817,0.0,5817,0.61,Off,Off-grid,Gas,-
Power and Water Corporation,Walungurru (Kintore),F,NT,10361,2878,1108,0.0,1108,0.38,Off,Off-grid,Diesel,-
Power and Water Corporation,Warruwi (Goulburn Is),F,NT,8925,2479,1219,0.0,1219,0.49,Off,Off-grid,Diesel,-
Power and Water Corporation,Wilora (Stirling),F,NT,1238,344,274,0.0,274,0.8,Off,Off-grid,Diesel,-
Power and Water Corporation,Wirliyatjarrayi (Willowra),F,NT,4071,1131,776,0.0,776,0.69,Off,Off-grid,Diesel,-
Power and Water Corporation,Yarralin,F,NT,5276,1465,1004,0.0,1004,0.69,Off,Off-grid,Diesel,-
Power and Water Corporation,Yuendumu,F,NT,34689,9636,3677,0.0,3677,0.38,Off,Off-grid,Diesel,-
Power and Water Corporation,Corporate Total,C,-,603430,167619,87637,0.0,87637,,-,-,-,-
Power Generation Corporation,Channel Island Power Station,F,NT,3631546,1008763,552216,0.0,552216,0.55,On,DKIS,Gas,-
Power Generation Corporation,Katherine Power Station,F,NT,146245,40624,28349,0.0,28349,0.7,On,DKIS,Gas,-
Power Generation Corporation,Kings Canyon,F,NT,5353,1487,1117,0.0,1117,0.75,Off,Off-grid,Solar,-
Power Generation Corporation,Owen Springs Power Station,F,NT,294820,81894,51042,0.0,51042,0.62,Off,Off-grid,Gas,-
Power Generation Corporation,Ron Goodin Power Station,F,NT,452023,125562,90061,0.0,90061,0.72,Off,Off-grid,Gas,-
Power Generation Corporation,Tennant Creek Power Station,F,NT,117070,32519,22756,0.0,22756,0.7,Off,Off-grid,Gas,-
