Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,512455,142348,47,189.0,236,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,575522,159867,48,246.0,294,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1018498,282916,60,907.0,967,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2339624,649896,158,869.0,1027,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,4446099,1235027,313,2211.0,2524,,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,587856,163293,0,533.0,533,0.0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,587856,163293,0,533.0,533,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,7240,2011,15,33.0,48,0.01,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,1391597,386555,174233,2829.0,177062,0.45,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,51517714,14310476,12763444,19122.0,12782566,0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,314481,87356,83,656.0,739,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,408929,113591,81,343.0,424,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,1481,411,2,367.0,369,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,33585,9329,1,50.0,51,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,153275,42576,0,340.0,340,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,401140,111428,10,187.0,197,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,123,34,0,0.0,0,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1062039,295011,125,168.0,293,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,812671,225742,84,133.0,217,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1506996,418610,191,309.0,500,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,465379,129272,65,139.0,204,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,0,0,0,6.0,6,0.0,On,NEM,Gas,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,124238,34511,20567,410.0,20977,0.6,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,26305616,7307116,7021228,44618.0,7065846,0.96,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,59031839,16397733,19153341,220357.0,19373698,1.17,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,2641871,733853,7637,2411.0,10048,0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,386791,107442,2,4325.0,4327,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,840121,233367,154,691.0,845,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,630310,175086,63,469.0,532,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,0,0,0,207.0,207,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2826436,785121,81,335.0,416,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,360423,100117,70675,1580.0,72255,0.71,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,6008329,1668980,957873,11484.0,969357,0.57,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,950951,264153,78,150.0,228,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,609716,169366,1,667.0,668,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Yarrawonga Hydro,F,VIC,156774,43548,0,19.0,19,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,43303,12029,1,0.0,1,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,0,0,0,24.0,24,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Corporate Total,C,-,158993368,44164825,40170035,312429.0,40482464,,-,-,-,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Alinta Pinjarra Generation Facility,F,WA,5739815,1594393,1086799,644.0,1087443,0.68,On,SWIS,Gas,-
ALCOA AUSTRALIAN HOLDINGS PTY LTD,Corporate Total,C,-,5739815,1594393,1086799,644.0,1087443,,-,-,-,-
APT PIPELINES LIMITED,Badgingarra Solar Farm,F,WA,108451,30125,30,49.0,79,0.0,On,SWIS,Solar,-
APT PIPELINES LIMITED,Badgingarra Wind Farm,F,WA,1701835,472732,96,275.0,371,0.0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Daandine Power Station,F,QLD,406375,112882,61562,660.0,62222,0.55,On,NEM,Coal Seam Methane,"Please note that where more than one person has operational control over a facility at the same time and no nomination of operational control has been made, data for the facility for the entire period must be reported by the controlling corporation of each entity with operational control. This results in the same facility being reported multiple times. APT PIPELINES LIMITED and CLARKE ENERGY (AUSTRALIA) PTY. LTD., have each included the same data for the Daandine Power Station in their NGER reports."
APT PIPELINES LIMITED,Darling Downs Solar Farm,F,QLD,755182,209773,66,658.0,724,0.0,On,NEM,Wind,-
APT PIPELINES LIMITED,Diamantina Power Station,F,QLD,6884574,1912382,809252,176.0,809428,0.42,On,Mt Isa,Gas,-
APT PIPELINES LIMITED,Emu Downs Solar Farm,F,WA,173545,48207,6,160.0,166,0.0,On,SWIS,Solar,-
APT PIPELINES LIMITED,Emu Downs Wind Farm,F,WA,883949,245541,71,160.0,231,0.0,On,SWIS,Wind,-
APT PIPELINES LIMITED,Corporate Total,C,-,10913911,3031642,871083,2138.0,873221,,-,-,-,-
ARROW ENERGY HOLDINGS PTY LTD,Braemar 2 Power Station,F,QLD,1475610,409892,246789,4578.0,251367,0.6,On,NEM,Coal Seam Methane,-
ARROW ENERGY HOLDINGS PTY LTD,Corporate Total,C,-,1475610,409892,246789,4578.0,251367,,-,-,-,-
ATCO AUSTRALIA PTY LTD,Karratha Power Station,F,WA,513078,142522,99275,62.0,99337,0.7,On,NWIS,Gas,-
ATCO AUSTRALIA PTY LTD,Osborne facility,F,SA,1413851,392736,161402,3725.0,165127,0.41,On,NEM,Gas,-
ATCO AUSTRALIA PTY LTD,Corporate Total,C,-,1926929,535258,260677,3787.0,264464,,-,-,-,-
