Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production MWh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e,Total Emissions t CO2 e,Emission Intensity t CO2 e MWh,Grid Connected,Grid,Primary Fuel,Important Notes
ACCIONA ENERGY OCEANIA PTY. LTD.,Cathedral Rocks Wind Farm,F,SA,550950,153042,48,136.0,184,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Gunning Wind Farm,F,NSW,601740,167150,44,205.0,249,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Mt Gellibrand Wind Farm,F,VIC,4320,1200,0,22.0,22,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Waubra Wind Farm,F,VIC,2317673,643798,132,966.0,1098,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY. LTD.,Corporate Total,C,-,3474683,965190,224,1329.0,1553,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,11089,3080,4,59.0,63,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,55964880,15545800,13705014,20951.0,13725965,0.88,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,290885,80801,82,852.0,934,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,470545,130707,78,345.0,423,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,130417,36227,1,36.0,37,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,195811,54392,2,268.0,270,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Coopers Cogeneration,F,SA,84730,23536,17445,64.0,17509,0.74,On,NEM,Gas,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,148524,41257,1,43.0,44,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,201611,56003,1,636.0,637,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,668859,185794,13,667.0,680,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,70572,19603,0,11.0,11,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenorchy Landfill Generation,F,TAS,32986,9163,517,1.0,518,0.06,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1126198,312833,96,191.0,287,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,901465,250407,71,158.0,229,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1708149,474486,152,377.0,529,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,582085,161690,62,224.0,286,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hobart Landfill Generation,F,TAS,22430,6231,358,1.0,359,0.06,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Hunter Valley Gas Turbines,F,NSW,3073,854,1037,932.0,1969,1.21,On,NEM,Gas,-
AGL ENERGY LIMITED,Kemps Creek Landfill Generation,F,NSW,47007,13058,633,18.0,651,0.05,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Kincumber Landfill Generation,F,NSW,7588,2108,142,19.0,161,0.07,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,30667257,8518683,7799843,40396.0,7840239,0.92,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,61026883,16951912,19861938,245177.0,20107115,1.17,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,3770990,1047497,434,2823.0,3257,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,357923,99423,6,4693.0,4699,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Moranbah Power Station,F,QLD,197704,54918,33547,28.0,33575,0.61,On,NEM,Coal Seam Methane,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,902651,250736,150,763.0,913,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,677832,188287,79,615.0,694,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,12970,3603,0,22.0,22,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rockingham Landfill Generation,F,WA,84406,23446,1472,8.0,1480,0.06,On,SWIS,Landfill Gas,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,150908,41919,1,38.0,39,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Shoalhaven Landfill Generation,F,NSW,6308,1752,80,5.0,85,0.05,On,NEM,Landfill Gas,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,307506,85418,61440,1851.0,63291,0.72,On,NEM,Gas,-
