Reporting Entity,Facility Name,Type,State,Electricity Production GJ,Electricity Production Mwh,Total Scope 1 Emissions t CO2 e,Total Scope 2 Emissions t CO2 e 2,Total Emissions t CO2 e,Emission Intensity t Mwh,Grid Connected2,Grid,Primary Fuel,Important Notes
POWER AND WATER CORPORATION,Amanbidgi (Kildurk),F,NT,973,270,256,,256,0.95,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,"Ampilatwatja (Alparra, Ammaroo)",F,NT,12042,3345,2373,,2373,0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Amunturangu (Mount Liebig),F,NT,2732,759,604,,604,0.8,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Aputula (Finke),F,NT,3616,1004,720,,720,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Areyonga (Utju),F,NT,3880,1078,757,,757,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Atitjere (Harts Range),F,NT,3124,868,649,,649,0.75,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Borroloola Generation,F,NT,22837,6344,4358,,4358,0.69,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Bulla Camp,F,NT,1521,423,398,,398,0.94,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Bulman,F,NT,4397,1221,934,,934,0.76,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Daly Waters Generation,F,NT,3758,1044,792,,792,0.76,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Elliot Generation,F,NT,9731,2703,1927,,1927,0.71,Off,Off-grid,Gas,-
POWER AND WATER CORPORATION,Engawala (Alcoota),F,NT,1971,548,435,,435,0.79,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Epenarra (Wutunugurra),F,NT,2460,683,579,,579,0.85,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Eva Valley,F,NT,1287,358,316,,316,0.88,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Galiwinku (Elcho Island),F,NT,25276,7021,4994,,4994,0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Gapuwiyak (Lake Evella),F,NT,10460,2906,2107,,2107,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Gunbalanya (Oenpelli),F,NT,17934,4982,3557,,3557,0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Ikuntji (Haasts Bluff),F,NT,2613,726,579,,579,0.8,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Imangara (Murray Downs),F,NT,1052,292,243,,243,0.83,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Imanpa (Mount Ebenezer),F,NT,2088,580,457,,457,0.79,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Kalkaringi (Wave Hill),F,NT,10820,3006,1727,,1727,0.57,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Kaltukatjara (Docker River),F,NT,5227,1452,1042,,1042,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Lajamanu (Hooker Creek),F,NT,10601,2945,2112,,2112,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Laramba (Napperby),F,NT,3361,934,685,,685,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Maningrida,F,NT,32108,8919,5945,,5945,0.67,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milikapiti (Snake Bay),F,NT,7535,2093,1583,,1583,0.76,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milingimbi,F,NT,13208,3669,2724,,2724,0.74,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Milyakburra (Bickerton Island),F,NT,3398,944,690,,690,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Minjilang (Croker Island),F,NT,4646,1291,989,,989,0.77,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Minyerri (Hodgson Downs),F,NT,8125,2257,1652,,1652,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nauiyu Nambiyu (Daly River),F,NT,11173,3104,2178,,2178,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nguiu (Bathurst Island),F,NT,23428,6508,4766,,4766,0.73,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Ngukurr (Roper River),F,NT,16463,4573,3306,,3306,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Numbulwar (Rose River),F,NT,10912,3031,2134,,2134,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Nyirripi (Waite Creek),F,NT,3525,979,687,,687,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Orwaitilla (Canteen Creek),F,NT,3462,962,679,,679,0.71,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Palumpa,F,NT,5511,1531,1072,,1072,0.7,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Papunya,F,NT,6784,1884,1359,,1359,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Peppimenarti,F,NT,4349,1208,873,,873,0.72,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Pidgeon Hole,F,NT,1779,494,384,,384,0.78,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Pirlangimpi (Garden Point),F,NT,7236,2010,1611,,1611,0.8,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Ramingining,F,NT,11618,3227,2173,,2173,0.67,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Robinson River,F,NT,3819,1061,787,,787,0.74,Off,Off-grid,Diesel,-
POWER AND WATER CORPORATION,Tara (Neutral Junction),F,NT,1169,325,286,,286,0.88,Off,Off-grid,Diesel,-
