Reporting entity,Facility name,Type,State,Electricity production GJ,Electricity production MWh,Total scope 1 emissions t CO2 e,Total scope 2 emissions t CO2 e,Total emissions t CO2 e,Emission intensity t CO2 e MWh,Grid connected,Grid,Primary fuel,Important notes
ACCIONA ENERGY OCEANIA PTY LTD,Cathedral Rocks Wind Farm,F,SA,521625,144896,56,156.0,212,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,F,NSW,568252,157848,54,199.0,253,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,F,VIC,1053711,292697,81,726.0,807,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,F,VIC,2339624,649896,172,851.0,1023,0.0,On,NEM,Wind,-
ACCIONA ENERGY OCEANIA PTY LTD,Corporate Total,C,-,4483212,1245337,363,1932.0,2295,,-,-,-,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,F,QLD,615760,171045,1,577.0,578,0.0,On,NEM,Solar,-
ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Corporate Total,C,-,615760,171045,1,577.0,578,,-,-,-,-
AGL ENERGY LIMITED,Banimboola Hydro,F,VIC,13440,3733,0,25.0,25,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Barker Inlet Power Station,F,SA,1111534,308759,175223,2543.0,177766,0.57,On,NEM,Gas,-
AGL ENERGY LIMITED,Bayswater Power Station,F,NSW,53502955,14861932,13215259,34798.0,13250057,0.89,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Bogong Power Station,F,VIC,392944,109151,82,681.0,763,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Broken Hill Solar Plant,F,NSW,389673,108242,82,334.0,416,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Burrendong Hydro,F,NSW,58645,16290,1,37.0,38,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Clover Hydro,F,VIC,184506,51252,2,218.0,220,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Copeton Hydro,F,NSW,73746,20485,1,56.0,57,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Dartmouth Hydro,F,VIC,197525,54868,0,276.0,276,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Eildon Hydro,F,VIC,325382,90384,20,80.0,100,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Glenbawn Hydro,F,NSW,0,0,0,9.0,9,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Hallett (Stage 1) Wind Farm,F,SA,1099253,305348,109,180.0,289,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 2) Wind Farm,F,SA,818187,227274,76,124.0,200,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 4) Wind Farm,F,SA,1513897,420527,161,255.0,416,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Hallett (Stage 5) Wind Farm,F,SA,485471,134853,64,129.0,193,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Kwinana Swift Power Station,F,WA,193065,53629,31283,244.0,31527,0.58,On,SWIS,Gas,-
AGL ENERGY LIMITED,Liddell Power Station,F,NSW,29183166,8106435,7658316,41284.0,7699600,0.94,On,NEM,Black Coal,-
AGL ENERGY LIMITED,Loy Yang Power Station and Mine,F,VIC,54517793,15143831,17701028,247304.0,17948332,1.17,On,NEM,Brown Coal,-
AGL ENERGY LIMITED,Macarthur Wind Farm,F,VIC,2937197,815888,5169,2128.0,7297,0.01,On,NEM,Wind,-
AGL ENERGY LIMITED,McKay Creek Hydro,F,VIC,480265,133407,0,2117.0,2117,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Nyngan Solar Plant,F,NSW,752856,209127,154,693.0,847,0.0,On,NEM,Solar,-
AGL ENERGY LIMITED,Oaklands Hill Wind Farm,F,VIC,674438,187344,65,379.0,444,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Pindari Hydro,F,NSW,6847,1902,0,17.0,17,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Rubicon Hydro Scheme,F,VIC,0,0,0,21.0,21,0.0,On,NEM,Hydro,-
AGL ENERGY LIMITED,Silverton Wind Farm,F,NSW,2523865,701074,75,572.0,647,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,Somerton Power Station,F,VIC,226482,62912,46089,1634.0,47723,0.73,On,NEM,Gas,-
AGL ENERGY LIMITED,Torrens Island Power Station,F,SA,3866881,1074133,637005,9800.0,646805,0.59,On,NEM,Gas,-
AGL ENERGY LIMITED,Wattle Point Wind Farm,F,SA,993013,275837,89,85.0,174,0.0,On,NEM,Wind,-
AGL ENERGY LIMITED,West Kiewa Hydro,F,VIC,770966,214157,0,502.0,502,0.0,On,NEM,Hydro,-
